Country Code,Short Name,Region,year,GDPPerCapita,GDPperCapitaPPP,Homicide,HomicideFemale,HomicideFemale,Population
TLS,Timor-Leste,East Asia & Pacific,1995,,,,,,"871,447"
TON,Tonga,East Asia & Pacific,1995,"3,036","4,264",,,,"96,076"
TTO,Trinidad and Tobago,Latin America & Caribbean,1995,"6,869","12,871",,,,"1,255,001"
TUN,Tunisia,Middle East & North Africa,1995,"2,432","6,131",,,,"9,113,975"
TUR,Turkey,Europe & Central Asia,1995,"7,315","12,310",,,,"58,486,381"
TUV,Tuvalu,East Asia & Pacific,1995,"2,698","2,667",,,,"9,230"
TZA,Tanzania,Sub-Saharan Africa,1995,474,"1,422",,,,"29,960,776"
UGA,Uganda,Sub-Saharan Africa,1995,360,916,,,,"20,550,291"
UKR,Ukraine,Europe & Central Asia,1995,"1,917","5,060",9,,,"51,512,299"
URY,Uruguay,Latin America & Caribbean,1995,"8,045","11,511",,,,"3,224,804"
USA,United States,North America,1995,"38,678","39,486",8,,,"266,278,000"
UZB,Uzbekistan,Europe & Central Asia,1995,728,"2,242",5,,,"22,785,000"
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,1995,"4,159","6,618",19,,,"108,122"
VEN,Venezuela,Latin America & Caribbean,1995,"12,545","15,323",20,,,"22,188,667"
VGB,British Virgin Islands,Latin America & Caribbean,1995,,,,,,"18,427"
VIR,Virgin Islands,Latin America & Caribbean,1995,,,,,,"107,818"
VNM,Vietnam,East Asia & Pacific,1995,581,"1,955",,,,"75,198,977"
VUT,Vanuatu,East Asia & Pacific,1995,"2,625","2,609",,,,"168,235"
WSM,Samoa,East Asia & Pacific,1995,"2,357","3,686",,,,"170,157"
XKX,Kosovo,Europe & Central Asia,1995,,,,,,"2,029,000"
YEM,Yemen,Middle East & North Africa,1995,"1,033","3,532",,,,"15,320,653"
ZAF,South Africa,Sub-Saharan Africa,1995,"5,528","9,032",65,,,"42,088,165"
ZMB,Zambia,Sub-Saharan Africa,1995,906,"2,029",,,,"9,137,077"
ZWE,Zimbabwe,Sub-Saharan Africa,1995,"1,357","2,758",,,,"11,320,346"
ABW,Aruba,Latin America & Caribbean,1996,"26,088","38,209",,,,"83,200"
AFG,Afghanistan,South Asia,1996,,,,,,"17,822,884"
AGO,Angola,Sub-Saharan Africa,1996,"2,073","3,675",,,,"14,682,284"
ALB,Albania,Europe & Central Asia,1996,"1,870","4,534",8,,,"3,168,033"
AND,Andorra,Europe & Central Asia,1996,"34,175",,,,,"64,360"
ARE,United Arab Emirates,Middle East & North Africa,1996,"62,294","101,754",,,,"2,571,020"
ARG,Argentina,Latin America & Caribbean,1996,"7,955","14,486",9,,,"35,419,682"
ARM,Armenia,Europe & Central Asia,1996,"1,122","2,337",4,,,"3,168,215"
